Frame   1/3171   left_PSNR_before: 21.7236  left_PSNR_after: 33.6447  left_PSNR_gain: 11.9210 left_SSIM_before: 0.9637 left_SSIM_after: 0.9823 left_SSIM_gain: 0.0186 right_PSNR_before: 21.5673  right_PSNR_after: 32.8960  right_PSNR_gain: 11.3287 right_SSIM_before: 0.9576 right_SSIM_after: 0.9774 right_SSIM_gain: 0.0198
Frame   2/3171   left_PSNR_before: 20.8652  left_PSNR_after: 33.9818  left_PSNR_gain: 13.1166 left_SSIM_before: 0.9606 left_SSIM_after: 0.9813 left_SSIM_gain: 0.0207 right_PSNR_before: 20.7427  right_PSNR_after: 33.4788  right_PSNR_gain: 12.7360 right_SSIM_before: 0.9570 right_SSIM_after: 0.9785 right_SSIM_gain: 0.0216
Frame   3/3171   left_PSNR_before: 21.2775  left_PSNR_after: 34.2834  left_PSNR_gain: 13.0059 left_SSIM_before: 0.9632 left_SSIM_after: 0.9830 left_SSIM_gain: 0.0199 right_PSNR_before: 21.1382  right_PSNR_after: 33.5064  right_PSNR_gain: 12.3682 right_SSIM_before: 0.9587 right_SSIM_after: 0.9801 right_SSIM_gain: 0.0214
Frame   4/3171   left_PSNR_before: 21.2551  left_PSNR_after: 34.2041  left_PSNR_gain: 12.9490 left_SSIM_before: 0.9620 left_SSIM_after: 0.9818 left_SSIM_gain: 0.0198 right_PSNR_before: 21.1033  right_PSNR_after: 33.1368  right_PSNR_gain: 12.0335 right_SSIM_before: 0.9588 right_SSIM_after: 0.9789 right_SSIM_gain: 0.0201
Frame   5/3171   left_PSNR_before: 20.2938  left_PSNR_after: 33.8518  left_PSNR_gain: 13.5579 left_SSIM_before: 0.9601 left_SSIM_after: 0.9813 left_SSIM_gain: 0.0212 right_PSNR_before: 20.0792  right_PSNR_after: 32.0435  right_PSNR_gain: 11.9643 right_SSIM_before: 0.9554 right_SSIM_after: 0.9768 right_SSIM_gain: 0.0215
Frame   6/3171   left_PSNR_before: 20.7312  left_PSNR_after: 33.9194  left_PSNR_gain: 13.1882 left_SSIM_before: 0.9629 left_SSIM_after: 0.9819 left_SSIM_gain: 0.0190 right_PSNR_before: 20.6299  right_PSNR_after: 32.6084  right_PSNR_gain: 11.9785 right_SSIM_before: 0.9594 right_SSIM_after: 0.9780 right_SSIM_gain: 0.0186
Frame   7/3171   left_PSNR_before: 20.7143  left_PSNR_after: 34.3550  left_PSNR_gain: 13.6407 left_SSIM_before: 0.9644 left_SSIM_after: 0.9823 left_SSIM_gain: 0.0179 right_PSNR_before: 20.4017  right_PSNR_after: 32.3553  right_PSNR_gain: 11.9536 right_SSIM_before: 0.9572 right_SSIM_after: 0.9774 right_SSIM_gain: 0.0202
Frame   8/3171   left_PSNR_before: 17.9471  left_PSNR_after: 32.4554  left_PSNR_gain: 14.5083 left_SSIM_before: 0.9241 left_SSIM_after: 0.9785 left_SSIM_gain: 0.0543 right_PSNR_before: 17.8734  right_PSNR_after: 32.3350  right_PSNR_gain: 14.4616 right_SSIM_before: 0.9180 right_SSIM_after: 0.9728 right_SSIM_gain: 0.0549
Frame   9/3171   left_PSNR_before: 17.8718  left_PSNR_after: 32.6131  left_PSNR_gain: 14.7413 left_SSIM_before: 0.9249 left_SSIM_after: 0.9792 left_SSIM_gain: 0.0543 right_PSNR_before: 17.8100  right_PSNR_after: 32.9405  right_PSNR_gain: 15.1305 right_SSIM_before: 0.9170 right_SSIM_after: 0.9724 right_SSIM_gain: 0.0553
Frame  10/3171   left_PSNR_before: 18.0406  left_PSNR_after: 32.0744  left_PSNR_gain: 14.0338 left_SSIM_before: 0.9267 left_SSIM_after: 0.9794 left_SSIM_gain: 0.0527 right_PSNR_before: 18.0309  right_PSNR_after: 32.8127  right_PSNR_gain: 14.7817 right_SSIM_before: 0.9203 right_SSIM_after: 0.9735 right_SSIM_gain: 0.0533
Frame  11/3171   left_PSNR_before: 17.7883  left_PSNR_after: 31.3229  left_PSNR_gain: 13.5346 left_SSIM_before: 0.9264 left_SSIM_after: 0.9786 left_SSIM_gain: 0.0522 right_PSNR_before: 17.8021  right_PSNR_after: 32.3677  right_PSNR_gain: 14.5656 right_SSIM_before: 0.9220 right_SSIM_after: 0.9748 right_SSIM_gain: 0.0527
