Frame  17/3171   left_PSNR_before: 18.9388  left_PSNR_after: 33.2533  left_PSNR_gain: 14.3145 left_SSIM_before: 0.9004 left_SSIM_after: 0.9762 left_SSIM_gain: 0.0759 right_PSNR_before: 18.7873  right_PSNR_after: 31.9274  right_PSNR_gain: 13.1401 right_SSIM_before: 0.8952 right_SSIM_after: 0.9731 right_SSIM_gain: 0.0779
Frame  18/3171   left_PSNR_before: 19.2594  left_PSNR_after: 33.4306  left_PSNR_gain: 14.1712 left_SSIM_before: 0.9050 left_SSIM_after: 0.9775 left_SSIM_gain: 0.0725 right_PSNR_before: 19.0481  right_PSNR_after: 31.8072  right_PSNR_gain: 12.7591 right_SSIM_before: 0.8991 right_SSIM_after: 0.9726 right_SSIM_gain: 0.0735
Frame  19/3171   left_PSNR_before: 19.0831  left_PSNR_after: 33.0742  left_PSNR_gain: 13.9911 left_SSIM_before: 0.9029 left_SSIM_after: 0.9767 left_SSIM_gain: 0.0738 right_PSNR_before: 18.9035  right_PSNR_after: 31.6830  right_PSNR_gain: 12.7794 right_SSIM_before: 0.8953 right_SSIM_after: 0.9715 right_SSIM_gain: 0.0762
Frame  20/3171   left_PSNR_before: 19.1084  left_PSNR_after: 33.1248  left_PSNR_gain: 14.0164 left_SSIM_before: 0.9044 left_SSIM_after: 0.9764 left_SSIM_gain: 0.0720 right_PSNR_before: 18.9727  right_PSNR_after: 31.9231  right_PSNR_gain: 12.9503 right_SSIM_before: 0.8975 right_SSIM_after: 0.9720 right_SSIM_gain: 0.0746
Frame  21/3171   left_PSNR_before: 18.9582  left_PSNR_after: 33.1313  left_PSNR_gain: 14.1731 left_SSIM_before: 0.9036 left_SSIM_after: 0.9767 left_SSIM_gain: 0.0730 right_PSNR_before: 18.8417  right_PSNR_after: 32.0685  right_PSNR_gain: 13.2268 right_SSIM_before: 0.8957 right_SSIM_after: 0.9722 right_SSIM_gain: 0.0765
Frame  22/3171   left_PSNR_before: 12.5092  left_PSNR_after: 31.3154  left_PSNR_gain: 18.8063 left_SSIM_before: 0.7862 left_SSIM_after: 0.9661 left_SSIM_gain: 0.1799 right_PSNR_before: 12.4531  right_PSNR_after: 31.0576  right_PSNR_gain: 18.6044 right_SSIM_before: 0.7842 right_SSIM_after: 0.9640 right_SSIM_gain: 0.1798
Frame  23/3171   left_PSNR_before: 12.0743  left_PSNR_after: 31.2005  left_PSNR_gain: 19.1261 left_SSIM_before: 0.7848 left_SSIM_after: 0.9622 left_SSIM_gain: 0.1774 right_PSNR_before: 11.9013  right_PSNR_after: 29.5491  right_PSNR_gain: 17.6478 right_SSIM_before: 0.7592 right_SSIM_after: 0.9491 right_SSIM_gain: 0.1900
Frame  24/3171   left_PSNR_before: 12.3118  left_PSNR_after: 31.1762  left_PSNR_gain: 18.8644 left_SSIM_before: 0.7844 left_SSIM_after: 0.9625 left_SSIM_gain: 0.1781 right_PSNR_before: 12.1934  right_PSNR_after: 30.4029  right_PSNR_gain: 18.2095 right_SSIM_before: 0.7664 right_SSIM_after: 0.9575 right_SSIM_gain: 0.1911
Frame  25/3171   left_PSNR_before: 12.4398  left_PSNR_after: 30.1129  left_PSNR_gain: 17.6732 left_SSIM_before: 0.7972 left_SSIM_after: 0.9622 left_SSIM_gain: 0.1651 right_PSNR_before: 12.6099  right_PSNR_after: 29.8372  right_PSNR_gain: 17.2273 right_SSIM_before: 0.8149 right_SSIM_after: 0.9615 right_SSIM_gain: 0.1466
Frame  26/3171   left_PSNR_before: 12.8435  left_PSNR_after: 31.0436  left_PSNR_gain: 18.2001 left_SSIM_before: 0.8078 left_SSIM_after: 0.9664 left_SSIM_gain: 0.1586 right_PSNR_before: 13.0870  right_PSNR_after: 30.4016  right_PSNR_gain: 17.3146 right_SSIM_before: 0.8268 right_SSIM_after: 0.9648 right_SSIM_gain: 0.1380
